name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8
Quintus Penella,Gregor Gomez,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kahaleel Tatem,Gina Cartwright,5,3,4,3,4,3,3,2,1,2,6,4,1,2,4,5,3,5,4,7,3,7,4,6,8,7,8,7,6,7,6,6,8,7,4,8,8,8,8,8,8,8,2,8,6,8,4,8,4,8,8,8,8,8,8,8,8,8,8,8
Antonetta Rustedge,Gina Cartwright,3,3,5,4,2,4,1,3,3,3,2,4,7,1,1,3,4,4,8,5,2,2,4,4,8,7,6,6,8,8,4,6,6,8,5,6,8,5,8,7,8,7,8,8,8,6,8,8,8,8,8,8,5,8,8,8,8,8,8,8
Anestassia Gadman,Gina Cartwright,7,2,2,1,1,4,5,3,2,2,5,2,1,5,4,3,7,7,6,1,5,7,8,8,8,3,7,4,7,2,7,3,3,5,8,7,7,8,4,8,6,8,8,4,8,7,8,8,8,8,7,8,7,5,8,5,8,8,8,8
Babara Veazey,Gina Cartwright,6,4,3,4,4,3,2,4,1,3,3,2,1,1,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candie Senner,Gina Cartwright,2,3,3,2,4,2,3,3,2,3,4,1,3,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydelle Russo,Gina Cartwright,1,4,5,5,1,6,4,2,1,1,1,6,6,3,2,2,3,2,8,8,3,5,8,6,5,5,6,4,4,6,4,8,7,3,4,6,8,8,8,6,4,8,8,8,8,4,8,5,8,8,8,8,4,7,8,8,8,8,8,8
Warner Harse,Gina Cartwright,3,4,3,1,6,6,1,1,5,6,1,2,2,3,1,2,1,3,6,1,1,3,8,5,5,5,3,5,5,8,5,5,7,5,5,7,8,8,8,8,8,8,8,8,7,8,6,7,6,8,8,7,6,8,8,8,8,8,8,8
Tabbatha Kullmann,Gina Cartwright,1,7,4,5,2,4,4,6,5,5,4,2,2,3,4,3,1,3,8,5,6,8,6,6,8,2,3,3,7,3,8,8,8,6,8,5,6,8,7,8,8,7,7,6,4,8,8,8,8,8,7,4,8,8,6,8,8,8,8,8
Drucie Bianco,Gina Cartwright,6,4,3,3,1,4,4,3,3,2,4,1,4,2,4,3,4,2,6,8,2,8,3,5,5,3,5,5,8,5,7,7,2,5,4,3,8,5,6,8,6,4,8,8,8,5,8,6,6,8,5,8,7,7,8,8,8,8,8,8
Malvin Penrith,Gina Cartwright,1,4,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay Perillo,Gina Cartwright,1,3,6,1,4,3,5,8,3,4,2,5,4,5,3,3,1,5,1,3,7,6,7,7,5,7,7,6,1,5,4,8,5,2,7,5,8,8,8,8,6,5,8,8,8,8,5,8,2,8,8,6,8,8,8,8,8,8,8,6
Sandy Droogan,Edward Reinhart,3,2,3,4,6,1,2,1,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Othilia Hutton,Edward Reinhart,1,4,1,4,4,2,1,3,6,3,2,6,2,1,4,2,1,2,5,6,6,6,8,7,3,8,4,8,4,5,8,6,6,4,3,4,6,8,5,8,7,7,8,8,8,8,8,7,7,3,7,8,8,8,8,8,8,8,8,8
Lindon Mee,Edward Reinhart,1,1,1,5,4,2,2,5,1,5,2,3,5,6,5,2,2,3,3,4,5,5,8,6,6,5,7,8,8,7,5,3,8,7,8,7,8,8,8,8,8,7,8,7,8,8,7,8,8,8,4,8,8,7,8,8,8,8,8,8
Danella Leisk,Edward Reinhart,3,4,2,4,3,2,5,5,4,3,1,2,5,4,2,3,4,5,8,5,5,8,7,3,5,3,6,8,4,4,4,7,5,6,7,8,8,7,5,5,8,5,6,7,8,5,8,7,3,8,8,8,8,8,8,8,8,8,8,6
Waylan Gors,Edward Reinhart,5,4,1,7,2,1,1,3,2,4,4,1,3,1,5,5,1,1,7,6,8,4,4,5,5,8,8,4,6,6,3,8,7,8,5,7,8,6,8,8,8,8,8,8,8,8,8,8,8,6,8,8,6,8,8,8,8,7,8,7
Gisela Andrea,Edward Reinhart,2,3,3,3,1,5,2,5,2,5,2,4,5,2,4,3,3,2,3,5,5,5,6,6,5,7,2,5,5,7,5,8,8,8,4,5,8,4,8,8,8,8,6,8,8,8,3,8,6,8,6,8,7,5,8,8,8,8,8,8
Augusta Gilfoy,Edward Reinhart,4,6,3,3,2,1,2,3,2,6,4,3,4,2,1,1,7,2,8,8,8,5,4,6,5,8,2,1,7,8,6,6,5,7,8,6,8,8,7,8,8,6,8,8,8,8,8,6,8,6,8,8,4,8,8,4,8,8,8,8
Pier Spatig,Edward Reinhart,1,5,4,3,1,1,1,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenna Mcgroarty,Edward Reinhart,2,6,2,1,1,1,3,2,5,4,3,1,2,3,1,3,3,4,6,6,7,5,8,8,2,7,3,5,8,8,8,5,7,8,7,2,8,7,8,8,8,8,8,4,8,8,8,8,8,7,8,8,7,6,6,8,8,8,8,8
Susannah Bengough,John Sandbox,2,4,5,3,6,1,1,1,1,5,6,2,2,2,4,3,6,8,5,2,3,5,5,8,5,3,1,6,6,3,7,8,4,7,8,8,8,6,8,8,8,5,6,8,8,8,8,8
Madison Getch,John Sandbox,4,4,1,1,2,4,1,5,4,3,3,2,1,2,6,2,6,4,7,6,5,6,6,5,5,8,6,7,7,4,7,2,6,7,5,8,8,8,8,8,8,8,7,8,7,8,5,8
Leicester Banker,John Sandbox,3,6,4,2,4,5,3,7,4,1,1,5,5,3,5,1,7,3,1,4,7,4,6,8,8,3,4,8,8,5,7,7,2,6,6,8,6,8,4,8,6,8,8,8,8,8,7,3
Murvyn Aers,John Sandbox,4,4,4,3,5,2,1,1,4,7,2,3,5,4,3,3,3,2,6,7,4,7,8,4,6,5,6,8,6,8,5,4,6,6,6,8,7,7,8,6,7,8,8,6,6,5,8,8
Morley Battell,John Sandbox,5,1,3,2,4,3,5,1,5,2,3,3,1,6,2,3,2,1,8,8,6,4,4,7,8,5,6,7,1,7,8,5,8,5,5,4,8,5,8,8,8,8,7,8,6,3,8,6
Juliane Jacobssen,John Sandbox,5,6,1,5,2,4,5,3,5,8,1,3,4,1,1,1,2,4,3,7,6,6,8,2,3,4,1,3,6,5,6,6,6,6,6,5,6,8,4,4,8,8,6,8,8,6,8,2
Teirtza Docharty,John Sandbox,3,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arny Dobrowolny,John Sandbox,6,1,1,3,1,2,2,3,1,3,2,3,8,4,4,3,4,2,7,4,6,8,7,4,4,5,8,8,4,6,6,5,4,6,6,6,4,8,8,8,8,8,8,8,8,8,8,8
Derby Mcglashan,John Sandbox,5,1,3,4,1,2,2,7,2,2,3,2,2,6,4,1,4,5,5,6,8,4,7,4,8,8,8,3,3,6,2,5,8,6,8,8,8,8,6,8,8,8,8,4,8,8,8,8
Sharron Starling,John Sandbox,3,5,4,1,2,1,1,3,1,6,1,4,1,1,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amalea Harrell,John Sandbox,2,3,1,6,5,1,3,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn Maasze,John Sandbox,5,3,5,3,2,2,1,1,3,1,1,5,7,3,3,1,2,2,8,7,5,6,4,7,4,6,6,5,6,7,3,3,7,4,3,8,8,8,7,8,4,8,8,7,3,8,8,7
Gianina Wandless,Trixie Orange,3,1,8,4,4,1,4,1,5,3,1,3,5,5,3,2,2,3,5,6,6,6,2,8,3,3,4,8,5,6,8,6,4,6,8,7,8,8,8,8,8,8,8,8,6,8,7,8
Kaitlyn Chagg,Trixie Orange,1,4,2,1,3,3,2,4,4,2,3,5,2,7,2,3,2,2,4,6,6,6,1,5,3,8,5,4,8,6,5,6,1,7,8,8,8,8,8,8,8,7,8,8,6,5,8,8
Scotti Bromfield,Trixie Orange,1,1,2,6,2,6,3,7,1,3,2,3,3,1,3,4,3,5,6,4,5,8,3,5,8,3,7,4,5,4,3,7,7,2,8,8,1,8,8,7,8,6,8,7,8,8,4,8
Genovera Mattek,Trixie Orange,3,3,3,1,5,2,2,7,1,2,8,1,3,2,2,3,1,4,7,6,5,3,5,6,4,8,2,4,5,8,8,7,4,6,1,5,8,5,8,8,8,8,6,6,4,6,8,8
Yorgos O'Rourke,Trixie Orange,1,6,3,5,2,5,1,3,4,3,3,5,1,4,5,4,4,1,8,6,7,8,6,4,8,7,6,8,6,7,6,5,1,2,5,5,8,8,8,8,8,8,6,8,8,8,8,8
Sigrid Veitch,Eshal Brandt,4,4,3,6,2,2,4,1,3,4,1,1,2,1,1,4,3,1,6,3,7,7,4,2,2,5,8,4,6,5,4,5,7,8,8,4,8,3,8,7,8,7,8,7,8,6,8,8,6,8,6,8,7,8,8,8,8,8,7,8
Rodrick Henworth,Eshal Brandt,4,4,3,3,1,4,1,1,4,5,4,4,1,3,3,5,2,3,5,8,4,2,5,6,6,5,5,8,5,5,8,8,5,7,3,6,8,8,8,8,8,8,8,8,8,8,5,7,8,8,8,7,8,5,8,8,8,8,8,8
Reggie Lawlor,Eshal Brandt,5,2,5,3,3,6,4,2,1,5,2,1,5,1,3,5,5,5,6,8,8,7,6,7,8,2,8,6,7,5,6,5,6,3,8,6,8,6,8,8,8,8,7,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Thornton Thuillier,Eshal Brandt,3,5,4,5,2,1,1,2,1,3,1,5,4,4,2,2,2,2,4,4,4,7,4,4,8,5,4,8,8,1,6,5,4,5,7,6,8,8,5,7,8,8,6,2,6,8,8,8,8,7,7,7,8,8,8,8,8,8,7,8
Thomasine Poundford,Eshal Brandt,3,2,4,1,2,5,2,2,6,1,1,4,2,3,6,7,5,1,5,5,6,8,4,8,3,8,8,8,8,2,8,3,6,8,8,6,8,8,8,8,8,3,8,8,8,8,8,7,8,8,8,5,8,8,8,8,8,8,8,8
Wakefield Jeves,Eshal Brandt,1,5,5,4,1,3,4,4,3,2,3,6,2,4,1,4,6,4,8,8,6,4,8,7,7,4,8,4,8,7,8,8,3,2,6,7,8,5,8,3,5,7,8,8,8,6,8,6,8,8,8,3,4,7,8,8,8,8,8,8
Ced Danielut,Eshal Brandt,5,2,3,3,2,5,3,3,1,2,3,4,1,5,1,2,4,6,5,8,7,7,7,1,8,2,8,6,7,8,5,5,4,6,4,5,8,8,7,8,5,8,8,8,5,6,6,8,5,8,5,7,8,8,8,8,8,8,8,8
Austin Brister,Eshal Brandt,2,1,3,2,4,3,3,1,2,5,2,4,4,1,2,4,4,7,3,8,2,6,8,4,8,7,8,5,6,7,5,2,8,8,5,8,8,8,8,8,4,8,8,6,6,2,8,8,8,8,8,8,8,7,8,8,8,8,8,8
Windham Biagi,Eshal Brandt,6,3,4,7,3,3,2,2,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy Ducastel,Eshal Brandt,1,1,1,1,5,6,3,2,5,2,2,1,4,3,3,2,4,7,8,3,8,7,8,8,7,1,7,6,7,5,7,7,7,6,7,5,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,3,6,8,8,8,8,8,8,8
Daryle Janoch,Eshal Brandt,6,1,3,3,5,1,4,2,4,1,8,1,1,6,1,4,1,1,6,7,1,3,5,5,5,5,8,6,4,8,8,6,4,6,7,8,7,8,8,8,8,5,8,8,8,8,8,5,8,8,8,8,5,8,8,8,8,8,8,8
Aluino Sainter,Eshal Brandt,3,3,5,4,1,2,3,5,5,3,1,3,1,2,4,1,8,3,5,6,4,5,6,1,7,3,4,5,6,7,6,4,4,3,4,4,8,8,4,8,7,8,5,7,7,4,8,3,8,8,7,8,7,3,8,8,8,8,8,7
Magda Mckirton,Eshal Brandt,4,4,3,2,2,2,2,2,1,5,5,1,4,2,2,4,3,4,7,6,5,3,3,8,5,3,8,3,6,6,8,7,4,6,6,6,7,8,6,8,8,8,8,8,6,8,8,8,5,7,7,8,8,8,8,8,8,8,8,8
Caryn Adriaan,Eshal Brandt,3,1,1,3,4,5,2,4,6,1,2,2,4,5,3,6,3,3,2,5,4,7,7,4,5,8,8,8,7,4,8,5,7,8,5,6,7,8,8,8,8,8,4,8,8,8,8,8,8,8,8,5,8,8,8,7,8,8,8,8
Redd Jurges,Macey Broughton,1,8,2,2,2,4,2,1,3,4,3,4,4,5,5,4,1,3,8,4,6,8,7,7,7,3,3,8,8,5,1,5,3,8,6,7,8,6,8,8,8,5,7,3,7,8,6,8
Fabian Exell,Macey Broughton,2,6,3,6,3,1,3,3,3,1,6,6,5,4,4,6,1,1,6,8,5,8,5,7,2,8,8,7,3,1,7,4,8,3,4,8,8,8,8,8,8,7,8,8,6,8,6,8
Solly Kollas,Macey Broughton,4,4,6,1,3,3,3,4,3,3,4,1,5,4,2,3,7,5,6,7,4,3,8,5,5,6,5,3,5,6,3,5,8,2,4,6,8,8,8,7,8,3,8,8,8,4,7,8
Barbabas Huygens,Macey Broughton,2,5,5,3,3,7,4,2,2,1,6,5,4,3,4,3,1,1,5,8,6,7,3,7,6,5,7,5,4,6,3,7,2,7,6,3,7,8,8,7,8,8,8,7,8,8,7,8
Liuka Drissell,Macey Broughton,3,3,4,1,3,1,8,3,5,2,4,3,5,2,1,3,7,4,3,3,7,8,8,2,4,5,5,8,4,7,7,7,7,8,5,8,8,8,8,8,8,7,7,5,8,8,7,6
Vikki Godsal,Macey Broughton,3,4,2,1,2,3,4,5,5,2,4,2,3,2,3,2,4,7,5,8,8,3,5,5,5,4,3,4,8,4,4,4,8,5,6,5,6,8,8,8,8,6,7,8,6,8,8,6
Ealasaid Badcock,Macey Broughton,5,4,4,3,1,3,2,6,1,5,3,3,6,3,6,2,3,4,5,6,5,4,8,5,5,8,6,8,3,7,8,5,3,2,6,7,6,8,8,8,7,5,8,8,7,8,8,6
Gal Wallwood,Macey Broughton,4,4,2,4,6,3,2,3,2,4,3,8,1,5,3,4,2,4,3,8,2,7,5,6,2,3,7,6,4,6,6,7,3,4,2,8,7,8,7,5,6,7,8,8,8,8,6,8
Lotte Witherop,Macey Broughton,3,3,6,2,4,2,2,1,2,3,2,5,1,2,2,3,3,1,6,7,6,3,5,4,7,6,7,5,8,3,6,8,6,8,4,6,8,8,7,8,8,8,8,8,8,8,8,8
Bella Tarbox,Macey Broughton,2,2,2,1,3,4,1,3,2,1,3,3,3,6,1,2,3,1,5,3,8,7,5,2,6,4,7,7,7,3,5,2,6,4,6,2,6,8,8,8,8,7,3,8,8,8,6,8
Gabby Neilson,Macey Broughton,3,2,1,5,2,1,5,1,1,2,6,3,2,5,3,2,2,5,8,5,8,6,8,4,8,6,4,4,6,3,3,7,6,5,2,5,7,8,8,8,5,5,7,8,8,8,8,8
Zitella Hembery,Macey Broughton,2,3,3,4,4,4,4,1,5,4,4,3,2,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle Absolom,Igor Coates,3,3,2,1,3,2,2,2,5,2,5,1,4,4,4,2,1,3,4,7,6,4,8,5,4,6,8,5,8,4,6,3,5,6,8,4,6,8,8,8,8,8,8,8,8,4,8,8,8,5,8,8,4,6,8,8,7,6,8,8
Hughie Yeliashev,Igor Coates,4,4,1,2,1,4,3,2,3,3,1,1,2,2,3,3,5,2,6,8,6,2,3,6,4,6,7,6,4,5,5,7,5,7,4,5,6,8,7,8,8,8,8,8,8,8,8,5,3,5,6,8,6,7,8,8,4,8,8,8
Sher Biesinger,Igor Coates,3,1,5,4,3,1,3,1,3,2,2,3,5,2,4,6,1,1,8,8,2,8,5,8,4,2,4,3,8,5,8,6,3,4,5,6,7,8,8,8,8,8,7,8,8,8,3,8,8,8,7,8,7,8,8,6,8,6,8,8
Pepe Bendig,Igor Coates,4,4,2,3,3,3,4,1,4,2,3,2,3,1,5,1,2,6,7,5,3,5,8,4,8,8,7,4,2,7,6,5,6,7,5,4,8,4,8,8,8,6,8,8,8,7,7,7,8,8,8,8,8,6,8,8,8,8,8,8
Neal Ginglell,Igor Coates,3,4,2,2,7,4,1,2,5,3,5,2,5,4,8,6,2,3,2,7,8,8,7,7,3,4,2,8,4,8,3,5,6,8,3,5,8,5,6,6,7,7,7,8,4,8,7,8,8,8,5,8,8,7,8,8,8,8,7,8
Rozamond Wilton,Igor Coates,3,2,2,1,2,5,1,2,2,2,2,5,2,1,6,1,5,3,2,1,8,8,3,5,1,8,6,8,6,4,3,4,6,7,8,8,8,8,8,8,8,8,8,8,6,8,8,4,7,8,6,8,7,6,7,8,8,8,8,8
Glenn Coaker,Igor Coates,6,4,1,2,4,2,2,4,3,3,7,3,3,4,4,2,5,4,7,7,2,5,5,7,6,8,8,8,6,2,6,5,6,7,5,8,8,8,8,7,8,8,8,6,8,5,8,6,8,7,7,6,8,5,8,8,8,8,8,7
Daisy Brims,Igor Coates,1,4,3,2,3,2,4,5,2,3,3,6,2,4,1,4,4,2,7,8,8,6,5,5,7,4,5,8,3,8,4,6,3,6,8,3,8,6,8,8,8,7,8,8,7,7,8,3,8,8,3,8,8,8,8,8,8,7,8,8
Lalo Halton,Igor Coates,4,1,3,2,2,4,3,2,2,4,5,1,2,3,1,1,2,5,5,4,4,7,4,8,3,5,5,6,4,8,8,7,8,3,6,8,4,8,8,8,7,6,8,8,8,5,4,8,8,3,7,8,6,8,7,8,8,6,8,8
Palm Jakovijevic,Igor Coates,2,1,1,5,3,6,2,4,3,2,2,2,3,4,1,4,6,4,1,3,8,3,8,3,4,5,5,4,1,6,8,7,5,7,5,5,7,6,8,8,8,8,7,8,4,8,2,8,8,8,8,8,8,8,8,8,8,8,8,8
Yelena Kelleway,Igor Coates,3,5,1,3,1,5,3,3,4,5,1,1,5,1,2,4,1,2,6,4,4,6,5,6,8,6,5,8,6,8,5,5,5,8,6,6,4,8,8,8,4,8,4,8,8,8,8,8,8,8,6,1,8,8,8,8,8,8,8,8
Lay Trosdall,Igor Coates,2,5,2,5,4,5,4,5,1,1,3,4,2,5,1,3,3,2,7,6,5,8,8,3,8,8,1,6,8,8,1,6,3,8,8,4,8,7,6,4,8,4,4,8,8,8,6,7,8,8,8,6,8,8,7,8,8,8,8,8
Kayle Ferenc,Igor Coates,2,6,4,1,3,4,1,3,4,1,5,1,1,6,2,3,1,3,8,6,8,3,6,6,7,8,8,2,8,2,8,8,5,6,5,5,8,8,8,8,6,8,8,8,8,7,7,7,6,7,8,8,8,7,8,8,8,8,8,8
Law Massen,Mohammad Velazquez,4,4,6,1,3,6,3,1,1,3,7,2,4,3,4,2,2,2,8,8,8,6,6,5,7,7,6,3,6,6,7,8,6,8,1,8,8,8,8,4,8,8,7,6,8,8,8,8,5,8,8,8,8,8,8,8,7,8,8,8
Aldridge Du Fray,Mohammad Velazquez,4,5,5,2,4,3,3,4,1,2,1,8,1,1,3,4,3,3,3,8,1,5,4,7,2,5,4,4,6,8,6,7,3,5,6,8,8,8,6,5,8,8,8,8,8,6,8,8,8,7,6,8,8,5,8,8,8,8,8,8
Horatio Christley,Mohammad Velazquez,3,5,4,2,2,2,2,2,3,3,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellicent Desaur,Mohammad Velazquez,4,4,3,4,3,1,5,1,2,4,1,2,2,3,1,3,5,2,8,5,6,4,2,5,7,7,8,5,8,6,5,7,8,6,2,8,7,8,8,5,4,8,8,8,8,8,6,8,8,8,8,8,7,8,8,8,8,8,8,8
Ludovico Orridge,Mohammad Velazquez,2,2,4,2,1,2,4,4,1,5,6,2,4,3,3,1,1,1,6,6,8,4,3,7,3,3,7,3,4,5,4,8,6,6,7,3,7,8,8,8,8,8,4,4,8,8,8,8,8,8,8,8,7,4,8,8,8,8,8,8
Chantal Mailes,Mohammad Velazquez,5,6,3,1,2,2,2,3,2,1,8,3,4,3,3,2,4,5,8,7,2,8,6,1,8,8,8,3,5,4,3,6,5,8,5,6,8,8,8,6,6,8,8,6,7,8,7,8,8,6,8,8,6,8,8,8,7,8,8,8
Fax Schankelborg,Mohammad Velazquez,7,6,5,2,2,2,4,1,3,1,4,4,2,6,2,1,4,4,8,8,8,8,4,5,1,5,3,8,8,7,8,6,5,3,5,8,5,8,8,8,8,8,8,7,8,7,6,8,8,8,8,2,8,8,8,8,8,8,8,8
Kellie Tanguy,Mohammad Velazquez,2,4,1,4,3,2,4,3,2,4,4,2,1,1,4,7,5,3,4,3,4,6,7,4,6,7,8,4,8,5,4,5,5,6,7,8,8,8,4,7,8,8,8,8,8,8,8,4,8,8,7,6,7,8,6,8,8,8,8,8
Yalonda Beacom,Mohammad Velazquez,5,4,3,8,3,1,1,4,2,3,1,3,3,6,3,2,4,4,5,5,8,4,8,5,8,5,8,8,8,5,8,5,7,8,7,8,7,8,8,8,8,8,8,8,5,8,8,7,8,8,8,8,8,6,8,8,8,8,8,8
Tab Shitliff,Mohammad Velazquez,3,1,4,3,1,5,1,1,4,3,5,2,2,3,3,3,1,2,4,6,8,8,5,6,7,7,6,2,3,5,4,4,4,4,4,5,8,7,7,7,8,8,7,8,6,5,8,8,8,8,6,8,6,8,8,8,8,8,8,8
Tobie Culcheth,Mohammad Velazquez,1,2,4,4,5,4,3,2,3,1,4,2,4,2,3,3,2,2,5,5,7,8,8,6,8,4,7,6,6,3,4,1,2,2,7,5,8,6,8,8,7,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Gerianne Bagge,Macey Broughton,2,2,4,4,2,3,4,1,6,2,5,2,3,7,2,1,2,1,8,6,7,4,8,4,4,3,6,7,6,8,8,6,8,5,8,8,8,8,8,3,8,8,8,8,8,8,8,8
William Tomlett,Macey Broughton,6,3,6,2,3,7,1,1,5,2,4,4,3,2,4,2,1,2,4,8,4,2,7,5,3,4,7,4,8,6,7,1,5,8,3,8,8,8,8,8,8,8,8,8,8,8,8,6
Teddie Kemet,Macey Broughton,2,5,3,2,5,1,2,1,2,3,7,3,3,5,3,5,2,1,8,8,6,7,1,8,3,3,7,6,6,7,6,5,7,5,3,5,8,5,8,8,8,8,8,8,8,5,8,8
Artur Domaschke,Macey Broughton,3,3,1,1,2,5,1,4,2,1,1,3,1,4,3,4,3,2,6,5,8,6,8,5,5,5,8,5,2,8,5,6,5,7,5,2,8,8,8,8,7,7,7,8,7,8,8,5
Terrie Mackibbon,Macey Broughton,4,2,6,2,3,5,1,3,5,6,1,2,5,5,2,1,6,2,6,8,6,6,6,8,6,8,4,8,3,6,6,8,8,3,5,4,8,8,8,8,6,7,7,8,8,5,3,8
Ignacius Pleasaunce,Macey Broughton,2,3,5,1,1,3,5,4,2,2,2,2,2,2,2,3,5,3,4,8,6,7,6,5,8,7,8,8,5,4,8,6,8,6,6,2,8,8,6,8,8,4,4,8,8,4,8,7
Liane Lorente,Macey Broughton,6,3,4,1,2,4,4,1,1,3,2,2,2,1,6,3,3,1,8,2,6,5,8,8,6,6,6,8,3,5,8,7,3,3,8,6,8,8,8,8,8,8,6,3,4,8,8,8
Sosanna Rawlings,Macey Broughton,1,6,3,3,4,4,4,4,6,2,6,3,1,3,1,3,3,4,3,2,8,7,5,4,8,6,7,8,8,6,8,8,8,3,1,8,8,7,8,8,6,6,6,8,8,7,8,8
Allistir Langrick,Macey Broughton,6,2,6,1,4,2,3,2,2,1,4,2,4,2,1,3,5,4,5,2,4,2,4,7,3,2,4,7,3,6,7,4,4,2,1,6,8,8,8,8,8,8,8,8,8,8,8,6
Honor Huntall,Macey Broughton,3,5,1,5,1,2,5,1,3,3,3,5,1,4,3,2,2,1,4,8,5,7,5,8,3,8,4,2,8,8,4,5,8,4,5,6,5,8,5,8,7,8,8,7,8,8,8,5
Natassia Pawle,Macey Broughton,2,3,4,1,1,3,4,3,3,2,1,4,3,4,2,3,4,1,8,7,6,7,6,8,7,8,7,6,4,8,4,7,4,8,3,7,8,4,5,5,6,8,8,7,7,8,8,8
Haywood Teager,Macey Broughton,3,5,3,3,1,8,4,2,3,1,6,2,6,4,2,3,5,3,7,3,6,6,7,3,1,2,3,7,4,8,7,5,6,7,8,8,8,8,7,5,7,8,8,8,8,8,8,8
Marillin Rosendall,Macey Broughton,4,2,3,1,3,3,5,2,2,2,2,1,2,5,2,1,8,3,6,7,7,5,7,6,8,5,5,2,6,8,2,7,6,6,7,4,6,8,8,7,8,8,8,8,6,8,5,8
Giustina Catford,Martina Meadows,1,1,4,4,2,4,1,7,1,1,1,3,2,5,6,3,4,2,6,6,3,8,6,6,8,8,8,5,5,4,5,6,7,3,7,4,8,8,8,8,8,8,8,6,8,6,4,8
Kore Amburgy,Martina Meadows,4,1,1,3,3,4,5,1,3,1,4,4,2,3,1,5,1,4,1,7,7,7,1,4,6,6,6,6,5,5,6,4,6,5,8,4,8,8,8,8,8,8,7,1,8,8,8,4
Constance Fellibrand,Martina Meadows,3,4,3,5,4,1,2,2,2,5,6,2,1,2,3,4,4,3,7,2,4,8,2,2,6,4,5,5,3,8,8,8,8,4,8,5,8,8,8,7,7,8,5,8,8,8,8,8
Rickard Blakes,Martina Meadows,5,1,5,3,4,2,1,4,8,2,3,4,4,2,5,1,7,3,5,6,3,5,7,8,6,8,8,8,7,8,5,4,6,8,8,8,8,6,8,5,8,3,8,8,8,7,8,8
Noe Fortnam,Martina Meadows,1,6,1,3,2,3,3,3,3,8,5,3,3,3,3,1,2,3,7,5,6,8,3,7,7,4,5,8,4,4,8,8,8,2,8,5,8,8,8,8,8,7,8,7,8,8,8,8
Cherrita Mcgilleghole,Martina Meadows,6,1,4,3,3,2,2,3,1,2,2,3,2,4,6,4,1,5,7,5,6,2,8,6,3,4,7,3,4,7,1,3,4,5,4,5,8,8,5,8,8,4,8,5,8,5,5,8
Charmain Diben,Martina Meadows,1,4,4,3,2,3,1,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Barns,Martina Meadows,6,1,3,2,3,1,1,4,3,4,2,1,5,5,3,2,4,3,8,7,7,3,8,8,5,2,6,4,8,6,4,3,3,5,6,1,8,6,8,8,8,8,8,8,8,8,8,8
Brewer Calderbank,Eshal Brandt,1,3,2,2,4,3,1,1,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fons Ghiotto,Eshal Brandt,3,2,1,2,2,4,5,3,3,2,5,2,6,1,1,3,2,4,5,2,6,7,8,3,6,8,5,7,4,5,4,3,8,5,5,5,8,6,8,8,5,8,8,7,4,8,7,8,6,8,8,8,8,4,8,8,8,8,8,8
Evin De Roeck,Eshal Brandt,5,4,2,2,3,4,2,2,3,1,4,3,3,5,3,2,1,2,4,6,7,6,3,7,5,8,4,8,6,4,8,5,7,8,8,8,7,8,8,8,8,8,8,5,8,8,8,8,8,8,8,8,3,8,8,8,8,8,8,8
